ROUTE_ID,노선명,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100100198,2221,105000108,06194,청솔우성아파트.답십리시장,127.057648,37.57370928
104900004,광진05,104900097,05582,강변역A,127.093833,37.535988
100100198,2221,105000107,06193,전농우체국앞,127.05789,37.576523
100100211,2415,122000106,23209,한별구립어린이집,127.0546027,37.5102276
100100199,2222,103000112,04211,제인병원,127.056837,37.549348
104900004,광진05,104900103,05585,동서울호텔앞,127.092049,37.5345921
100100199,2222,103000167,04269,성수2가3동주민센터,127.054782,37.55023742
100100198,2221,105000120,06206,전농래미안크레시티아파트,127.055592,37.576277
100100211,2415,122000340,23453,포스코사거리,127.05574,37.50808
104900004,광진05,104900107,05588,한창주택,127.0891188,37.53371538
100100211,2415,122000158,23261,대치사거리,127.058292,37.503405
100100198,2221,105000118,06204,동대문중학교,127.053755,37.575014
100100199,2222,103000153,04255,리버하우스,127.0506905,37.5512302
104900004,광진05,104900016,05589,행운슈퍼앞,127.0870462,37.53306994
100100211,2415,122000159,23262,대치동현대아파트,127.0591749,37.50164601
100100198,2221,105000134,06220,래미안크레시티.답십리도서관,127.050244,37.57456175
100100199,2222,103000089,04188,상원,127.046662,37.551748
104900004,광진05,104000094,05187,자양하늘채베르아파트앞,127.084608,37.53219224
100100198,2221,105000132,06218,롯데캐슬노블레스,127.0484717,37.57555526
100100199,2222,103000031,04130,한양대정문앞,127.043138,37.556996
100100211,2415,122000121,23224,농협대치지점,127.0611545,37.49793697
104900004,광진05,104900115,05596,성자초등학교앞,127.0825683,37.53151966
100100199,2222,103000038,04137,서울숲삼부아파트,127.0379493,37.55872308
100100198,2221,105000130,06216,청량리역6번출구,127.043803,37.578083
100100211,2415,122000122,23225,대치SKVIEW아파트.서울교회,127.0620557,37.49626135
104900004,광진05,104000092,05185,자양동우체국.중앙농협,127.0814131,37.53157273
100100198,2221,105000480,06022,청량리.청과물도매시장,127.040598,37.578798
100100199,2222,103000035,04134,왕십리역,127.0362669,37.56033656
100100211,2415,122000123,23226,대치역1번출구,127.0614984,37.4938593
104900004,광진05,104900113,05668,국민은행자양지점,127.079026,37.532277
